Date,State,LGA,Latitude,Longitude,Victims,Incident_Type,Time_of_Day,Severity,Cluster_Label
2024-04-01,Kaduna,Chikun,10.464405994097651,7.445945109234469,52,School,Evening,High,1
2025-02-17,Katsina,Jibia,12.97945185551277,7.2053598287518295,75,School,Afternoon,High,1
2023-08-11,Zamfara,Zurmi,12.5458690601776,6.788208240992037,24,Church,Morning,Medium,1
2021-03-22,Katsina,Jibia,13.050956093298824,7.203741509641093,30,School,Afternoon,Medium,1
2025-09-14,Kaduna,Igabi,10.8631189060173,7.7069357483807295,21,Village,Afternoon,Medium,1
2018-08-01,Niger,Rafi,10.1980447092472,6.280172061251907,49,School,Night,Medium,1
2020-11-17,Oyo,Ibadan North,7.35483280991463,3.823018967196188,60,Road,Night,High,0
2024-03-21,Katsina,Kankara,11.85618351534227,7.48434904790236,47,Road,Morning,Medium,1
2024-01-30,Zamfara,Zurmi,12.626716963275127,6.774762722584779,64,Road,Afternoon,High,1
2025-04-15,Katsina,Kankara,11.899987307494705,7.457371991052332,7,Road,Morning,Low,1
2024-04-18,Niger,Rafi,10.282546173827832,6.211080899645455,53,Road,Night,High,1
2021-07-29,Katsina,Jibia,13.079325138763105,7.177114453552205,60,Church,Morning,High,1
2018-11-13,Katsina,Kankara,11.918527477308402,7.429467445662806,134,School,Morning,High,1
2025-02-13,Kaduna,Igabi,10.800443179750236,7.532016493806011,4,Road,Night,Low,1
2021-11-21,Katsina,Kankara,11.940931915802691,7.454088051947431,4,Church,Morning,Low,1
2020-11-12,Zamfara,Zurmi,12.607292977091271,6.6881708380341225,48,Road,Morning,Medium,1
2022-01-13,Kaduna,Igabi,10.739545732856744,7.550835289323156,62,Road,Evening,High,1
2024-01-17,Kaduna,Chikun,10.543040815007432,7.43429617358154,53,Village,Evening,High,1
2025-07-17,Katsina,Kankara,11.873472384765922,7.416721444131401,60,Village,Night,High,1
2021-09-24,Zamfara,Zurmi,12.476216161389674,6.711660893055686,15,Church,Morning,Medium,1
2019-01-24,Katsina,Kankara,11.981549976124798,7.45656400595581,8,Road,Evening,Low,1
2018-06-02,Zamfara,Tsafe,11.994922012960547,6.928680103183241,33,Church,Afternoon,Medium,1
2018-06-02,Oyo,Ibadan North,7.345183240843535,3.924400608974653,41,Church,Afternoon,Medium,0
2019-12-27,Niger,Rafi,10.380608617106656,6.311674840227153,23,School,Evening,Medium,1
2021-02-23,Kaduna,Igabi,10.83173977096152,7.644828069216448,44,Church,Morning,Medium,1
2019-11-27,Kaduna,Chikun,10.5363422611985,7.425944052292065,65,Village,Afternoon,High,1
2025-03-23,Katsina,Kankara,11.94806978027542,7.486901828323298,3,Church,Evening,Low,1
2022-07-12,Niger,Shiroro,10.148614812681334,6.783980459746632,14,School,Evening,Medium,1
2019-08-02,Zamfara,Zurmi,12.56247330708701,6.731722116405251,15,Village,Night,Medium,1
2018-11-25,Zamfara,Zurmi,12.574352353411909,6.765049632476707,51,Road,Afternoon,High,1
2023-01-09,Kaduna,Chikun,10.60971404215043,7.459034477086501,52,School,Night,High,1
2021-04-20,Katsina,Jibia,13.123635254899526,7.344361299147865,23,School,Afternoon,Medium,1
2022-07-28,Zamfara,Zurmi,12.529575319855342,6.754912147820773,29,Church,Morning,Medium,1
2018-02-12,Kaduna,Igabi,10.716651605741022,7.674631473575308,66,Village,Morning,High,1
2025-07-09,Zamfara,Tsafe,11.885878787657056,6.908557624188049,6,Road,Afternoon,Low,1
