Date,State,LGA,Latitude,Longitude,Victims,Incident_Type,Time_of_Day,Severity,Cluster_Label
2024-04-01,Kaduna,Chikun,10.464405994097653,7.445945109234469,52,School,Evening,High,1
2025-02-17,Katsina,Jibia,12.97945185551277,7.2053598287518295,75,School,Afternoon,High,1
2023-08-11,Zamfara,Zurmi,12.5458690601776,6.788208240992037,24,Church,Morning,Medium,1
2021-03-22,Katsina,Jibia,13.050956093298824,7.203741509641093,30,School,Afternoon,Medium,1
2025-09-14,Kaduna,Igabi,10.8631189060173,7.7069357483807295,21,Village,Afternoon,Medium,1
2018-08-01,Niger,Rafi,10.198044709247199,6.280172061251907,49,School,Night,Medium,1
2020-11-17,Oyo,Ibadan North,7.35483280991463,3.8230189671961883,60,Road,Night,High,0
2024-03-21,Katsina,Kankara,11.85618351534227,7.48434904790236,47,Road,Morning,Medium,1
2024-01-30,Zamfara,Zurmi,12.626716963275127,6.774762722584779,64,Road,Afternoon,High,1
2025-04-15,Katsina,Kankara,11.899987307494705,7.457371991052332,7,Road,Morning,Low,1
2024-04-18,Niger,Rafi,10.282546173827832,6.211080899645455,53,Road,Night,High,1
2021-07-29,Katsina,Jibia,13.079325138763103,7.177114453552205,60,Church,Morning,High,1
2018-11-13,Katsina,Kankara,11.918527477308402,7.429467445662806,134,School,Morning,High,1
2025-02-13,Kaduna,Igabi,10.800443179750237,7.532016493806011,4,Road,Night,Low,1
2021-11-21,Katsina,Kankara,11.940931915802693,7.454088051947431,4,Church,Morning,Low,1
2020-11-12,Zamfara,Zurmi,12.607292977091271,6.6881708380341225,48,Road,Morning,Medium,1
2022-01-13,Kaduna,Igabi,10.739545732856744,7.550835289323156,62,Road,Evening,High,1
2024-01-17,Kaduna,Chikun,10.543040815007432,7.43429617358154,53,Village,Evening,High,1
2025-07-17,Katsina,Kankara,11.873472384765922,7.416721444131401,60,Village,Night,High,1
2021-09-24,Zamfara,Zurmi,12.476216161389674,6.711660893055686,15,Church,Morning,Medium,1
2019-01-24,Katsina,Kankara,11.981549976124798,7.45656400595581,8,Road,Evening,Low,1
2018-06-02,Zamfara,Tsafe,11.994922012960549,6.928680103183241,33,Church,Afternoon,Medium,1
2018-06-02,Oyo,Ibadan North,7.345183240843535,3.9244006089746533,41,Church,Afternoon,Medium,0
2019-12-27,Niger,Rafi,10.380608617106656,6.311674840227153,23,School,Evening,Medium,1
2021-02-23,Kaduna,Igabi,10.831739770961521,7.644828069216448,44,Church,Morning,Medium,1
2019-11-27,Kaduna,Chikun,10.5363422611985,7.425944052292065,65,Village,Afternoon,High,1
2025-03-23,Katsina,Kankara,11.94806978027542,7.486901828323298,3,Church,Evening,Low,1
2022-07-12,Niger,Shiroro,10.148614812681334,6.7839804597466316,14,School,Evening,Medium,1
2019-08-02,Zamfara,Zurmi,12.56247330708701,6.731722116405251,15,Village,Night,Medium,1
2018-11-25,Zamfara,Zurmi,12.574352353411909,6.765049632476707,51,Road,Afternoon,High,1
2023-01-09,Kaduna,Chikun,10.60971404215043,7.459034477086501,52,School,Night,High,1
2021-04-20,Katsina,Jibia,13.123635254899526,7.344361299147865,23,School,Afternoon,Medium,1
2022-07-28,Zamfara,Zurmi,12.529575319855342,6.754912147820773,29,Church,Morning,Medium,1
2018-02-12,Kaduna,Igabi,10.716651605741022,7.674631473575308,66,Village,Morning,High,1
2025-07-09,Zamfara,Tsafe,11.885878787657056,6.908557624188049,6,Road,Afternoon,Low,1
2020-07-04,Zamfara,Zurmi,12.552795972934435,6.817539294279471,30,School,Evening,Medium,1
2023-03-19,Kaduna,Chikun,10.507168490865372,7.4116087137933615,62,School,Evening,High,1
2021-06-29,Zamfara,Tsafe,11.916484752271947,6.894667839018424,62,School,Afternoon,High,1
2018-04-02,Niger,Rafi,10.24923146289748,6.228967733861732,27,School,Evening,Medium,1
2019-08-07,Katsina,Kankara,11.884650638729756,7.369132292243859,51,Village,Afternoon,High,1
2021-02-16,Oyo,Ibadan North,7.400746941504737,3.828884253340213,59,Village,Night,High,0
2018-03-30,Zamfara,Tsafe,11.972877519536139,6.916277704211692,52,School,Evening,High,1
2025-11-25,Katsina,Kankara,11.970893675610828,7.357269776526659,52,Church,Night,High,1
2025-11-03,Kaduna,Chikun,10.466373408278217,7.380370691029841,3,Church,Night,Low,1
2021-06-30,Kaduna,Igabi,10.79301151049705,7.7531621056242646,59,Church,Afternoon,High,1
2026-02-17,Niger,Shiroro,9.975995633232376,6.817930993417789,54,Village,Afternoon,High,1
2025-07-19,Niger,Rafi,10.29126453961933,6.228925088983006,1,Church,Morning,Low,1
2019-10-02,Niger,Shiroro,10.078251738196274,6.733004439069838,44,Village,Afternoon,Medium,1
2025-12-17,Oyo,Ibadan North,7.37928377583719,3.895540289476788,68,Church,Evening,High,0
2024-01-31,Oyo,Ibadan North,7.349908607832515,3.999200785946634,17,Road,Morning,Medium,0
2020-04-23,Zamfara,Tsafe,12.020902521887827,6.900527098784826,70,Church,Morning,High,1
2019-10-15,Kaduna,Igabi,10.765328375889833,7.676158130417098,16,School,Evening,Medium,1
2019-12-30,Zamfara,Tsafe,11.999483640237534,6.941574473163152,70,School,Night,High,1
2024-02-08,Katsina,Jibia,13.115906413991235,7.182426412467598,59,Village,Morning,High,1
2020-12-26,Zamfara,Tsafe,11.92398510035706,6.906503311546215,19,School,Afternoon,Medium,1
2020-01-30,Kaduna,Igabi,10.81140064204947,7.50651505674662,33,Church,Morning,Medium,1
2020-02-22,Zamfara,Tsafe,12.018460382347632,6.963665848454471,1,Village,Evening,Low,1
2022-12-07,Oyo,Ibadan North,7.430675860868483,3.8684567841783024,50,Road,Night,Medium,0
2023-02-27,Niger,Rafi,10.323141229986659,6.275079818267309,60,Road,Night,High,1
2020-07-25,Katsina,Kankara,11.85799792761581,7.469536362805682,32,Village,Morning,Medium,1
2022-01-21,Kaduna,Chikun,10.546097078280845,7.444849233661659,19,Church,Afternoon,Medium,1
2020-06-08,Zamfara,Tsafe,12.006033335785654,6.908663877222532,24,Church,Afternoon,Medium,1
2025-10-17,Kaduna,Igabi,10.832699889324743,7.719429692866273,75,School,Afternoon,High,1
2019-01-22,Kaduna,Igabi,10.883288725557238,7.653691646045589,25,Road,Evening,Medium,1
2018-09-03,Zamfara,Zurmi,12.606725053244002,6.732275136901929,61,Road,Morning,High,1
2020-06-20,Kaduna,Chikun,10.45349629672426,7.4287356187214435,33,Church,Night,Medium,1
2024-09-08,Oyo,Ibadan North,7.4112243122028225,3.9770267792481007,8,Road,Night,Low,0
2021-02-09,Katsina,Kankara,11.961712014813214,7.563054760718913,33,Road,Morning,Medium,1
2019-08-16,Niger,Shiroro,10.023933677409545,6.818020274590309,22,Village,Night,Medium,1
2025-08-05,Niger,Rafi,10.223181189500771,6.207632123594368,27,Village,Night,Medium,1
2021-07-19,Kaduna,Chikun,10.562506029106192,7.449716997573241,28,Road,Afternoon,Medium,1
2019-12-23,Niger,Shiroro,9.926455375096944,6.854123620762159,147,Church,Night,High,1
2019-02-01,Kaduna,Igabi,10.783793380555917,7.667017040897387,30,School,Evening,Medium,1
2021-08-10,Zamfara,Tsafe,11.976819938189314,6.922531490545758,53,Village,Afternoon,High,1
2024-09-20,Zamfara,Tsafe,11.912524047741059,6.890155133421862,63,School,Evening,High,1
2021-02-27,Kaduna,Chikun,10.473697669039426,7.404351734118219,33,School,Evening,Medium,1
2021-01-22,Katsina,Kankara,11.984816489477055,7.3932294487964585,25,Church,Afternoon,Medium,1
2019-08-05,Kaduna,Igabi,10.745807128189943,7.637686255297276,67,Village,Afternoon,High,1
2025-12-23,Kaduna,Igabi,10.73261400135875,7.69948014140733,32,Village,Morning,Medium,1
2024-02-20,Zamfara,Tsafe,11.908725006513993,6.860848019433248,27,Village,Afternoon,Medium,1
2020-11-23,Katsina,Kankara,11.95093197345863,7.373591037531834,33,Road,Afternoon,Medium,1
2025-09-07,Zamfara,Zurmi,12.615256097997829,6.749804781375774,39,Village,Morning,Medium,1
2018-12-19,Niger,Rafi,10.345752384315302,6.442636574532736,50,Road,Evening,Medium,1
